received_utc,source_ip,raw_message,anomaly_type,reason
20251214T193125Z_22b4a6b1,2025-12-14T19:54:04.422003+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:54:11.252633+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:54:21.288780+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:54:31.325272+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:54:41.254699+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:54:51.596990+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:56:31.435751+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:56:41.445175+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:56:51.507540+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:57:01.542719+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:57:11.473888+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:57:21.508202+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:57:31.495953+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:57:41.607633+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:57:51.613577+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:58:01.648494+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:58:11.565086+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:58:21.719662+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:58:31.651723+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:58:41.788624+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:58:51.734691+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:59:01.626614+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:59:11.689406+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:59:21.726553+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:59:31.687605+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
